,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,n_estimators,ccp_alpha,criterion,loss
257,3.3749733686447145,0.019352641124553604,0.015188646316528321,0.0002745012159191152,0.7838926174496644,0.02118085078934161,0.9547352721849366,0.0026689828737022038,bow,21,1,True,unigram,1600,100,0.0,friedman_mse,deviance
972,3.9800071716308594,0.08147081778154075,0.018192028999328612,0.0023171382922629415,0.7838926174496643,0.03187742842157831,0.938627889634601,0.0025408985887249527,bow,23,1,False,unigram,200,200,0.0,friedman_mse,deviance
1055,2.7924323797225954,0.044720317725492155,0.01550757884979248,0.00043427558052174675,0.7825503355704698,0.02704623044242937,0.9524981357196122,0.002730773068396806,bow,24,1,False,unigram,800,100,0.0,friedman_mse,deviance
1138,2.845348072052002,0.026048017188070326,0.014682841300964356,0.00048749664449996785,0.7818791946308725,0.027874576721201586,0.9363907531692768,0.004524328504733043,bow,25,1,False,unigram,1600,80,0.0,friedman_mse,deviance
1350,5.134017920494079,0.0661501977029837,0.023077940940856932,0.000636732866966074,0.7818791946308725,0.03345622437748865,0.9480238627889636,0.003385401778617804,bow,25,1,False,unigram_bigram,800,200,0.0,friedman_mse,deviance
90,3.890573334693909,0.09607122639166285,0.018448376655578615,0.002328522574570247,0.7818791946308725,0.029446189219436623,0.9295302013422819,0.005328059859178615,bow,25,1,True,unigram,200,200,0.0,friedman_mse,deviance
172,2.153834843635559,0.0302172418827332,0.014559626579284668,0.0004154073884829242,0.7812080536912752,0.030784818634039503,0.9307979120059656,0.004281193167608441,bow,28,1,True,unigram,800,80,0.0,friedman_mse,deviance
256,2.7407442569732665,0.02326803010053244,0.014566469192504882,0.00028742626534876214,0.7805369127516779,0.027021237770734743,0.9346010439970172,0.005388254108724869,bow,29,1,True,unigram,1600,80,0.0,friedman_mse,deviance
384,3.920890545845032,0.09308560042658422,0.023267126083374022,0.0008025607396307825,0.7805369127516778,0.030908936750790497,0.9105145413870245,0.0032333308558805053,bow,30,1,True,unigram_bigram,200,200,0.0,friedman_mse,deviance
173,2.694684648513794,0.03542763193705633,0.015396881103515624,0.0009888390192697239,0.7805369127516778,0.028639715830002497,0.9472035794183444,0.0035419364912864953,bow,30,1,True,unigram,800,100,0.0,friedman_mse,deviance
