,adjusted_rand,homogeneity,completeness,v_measure,vec_name,fs_name,clust_name,repetition,n_clusters,noise
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-all,dbscan-1-20-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-all,dbscan-09-20-cosine,1,1.0,0.0
0,0.07703927651096504,0.1739949392547069,0.0767044145900304,0.10647159438173684,bow-binary,chi_k-all,dbscan-07-20-cosine,1,2.0,634.0
0,0.017111159408652474,0.39097825374379086,0.1039138599239614,0.16418956120251746,bow-binary,chi_k-all,dbscan-05-20-cosine,1,4.0,1343.0
0,0.013983288707527162,0.3954829701917658,0.0941862995445159,0.15213973919701976,bow-binary,chi_k-all,dbscan-03-20-cosine,1,4.0,1362.0
0,0.009729707778658588,0.39844131836068397,0.0665379635087214,0.1140329254880482,bow-binary,chi_k-all,dbscan-01-20-cosine,1,3.0,1403.0
0,0.07996588166741488,0.3160396219734467,0.10238895751973862,0.15466901170081518,bow-binary,chi_k-1600,kmeans-2-cousine,1,2.0,0.0
0,0.10362410305823024,0.27456024930118234,0.15964341948569516,0.20189482588089258,bow-binary,chi_k-1600,kmeans-3-cousine,1,3.0,0.0
0,0.19340985652569342,0.30684355807219926,0.23684381391350326,0.26733745278351,bow-binary,chi_k-1600,kmeans-4-cousine,1,4.0,0.0
0,0.2210621614717515,0.30666655671449106,0.28400843886204197,0.2949029184439061,bow-binary,chi_k-1600,kmeans-5-cousine,1,5.0,0.0
0,0.1692027573927169,0.21583416044585238,0.2244337199703459,0.22004995449473594,bow-binary,chi_k-1600,kmeans-6-cousine,1,6.0,0.0
0,0.23516351946419659,0.26473412538695673,0.3000639435880961,0.2812940412849198,bow-binary,chi_k-1600,kmeans-7-cousine,1,7.0,0.0
0,0.17660110658171463,0.19721643043887016,0.23306563332725103,0.21364763318490934,bow-binary,chi_k-1600,kmeans-8-cousine,1,8.0,0.0
0,0.1623793701721427,0.233442689199046,0.28237924701427003,0.2555896373114004,bow-binary,chi_k-1600,kmeans-9-cousine,1,9.0,0.0
0,0.20079980058057054,0.22214601260425798,0.29363229915175887,0.25293519693104055,bow-binary,chi_k-1600,kmeans-10-cousine,1,10.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1600,dbscan-1-5-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1600,dbscan-09-5-cosine,1,1.0,0.0
0,0.03606199793018948,0.19495550085603972,0.05886207450044065,0.09042309382667375,bow-binary,chi_k-1600,dbscan-07-5-cosine,1,3.0,217.0
0,0.07922213378509389,0.36662824179533077,0.24086342554181944,0.29072772176869505,bow-binary,chi_k-1600,dbscan-05-5-cosine,1,15.0,1050.0
0,0.028531689525872986,0.3650340746121859,0.16600072649616987,0.22821826914170754,bow-binary,chi_k-1600,dbscan-03-5-cosine,1,14.0,1242.0
0,0.009717417701197458,0.3329833016733107,0.10944307948679907,0.16474025738361506,bow-binary,chi_k-1600,dbscan-01-5-cosine,1,11.0,1335.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1600,dbscan-1-10-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1600,dbscan-09-10-cosine,1,1.0,0.0
0,0.04719654688735279,0.16731559327652276,0.058077483361833916,0.08622508490164484,bow-binary,chi_k-1600,dbscan-07-10-cosine,1,2.0,318.0
0,0.05847566557675735,0.4023993079253273,0.21037892742208808,0.27630333426814646,bow-binary,chi_k-1600,dbscan-05-10-cosine,1,8.0,1150.0
0,0.02239818923495393,0.4110723999791899,0.12945953895357634,0.19690693387302483,bow-binary,chi_k-1600,dbscan-03-10-cosine,1,6.0,1301.0
0,0.007894386098196548,0.34942158305335624,0.0943372469636584,0.1485647966652204,bow-binary,chi_k-1600,dbscan-01-10-cosine,1,7.0,1358.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1600,dbscan-1-20-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1600,dbscan-09-20-cosine,1,1.0,0.0
0,0.08272839663101236,0.19764402383183877,0.0825085001538542,0.11641738392169851,bow-binary,chi_k-1600,dbscan-07-20-cosine,1,2.0,505.0
0,0.044160732681037325,0.4815042708253476,0.13257354661484166,0.20790436352059571,bow-binary,chi_k-1600,dbscan-05-20-cosine,1,3.0,1297.0
0,0.02528245355356679,0.4961727313871159,0.10271047075240795,0.1701905634795411,bow-binary,chi_k-1600,dbscan-03-20-cosine,1,2.0,1350.0
0,0.009785266037480127,0.39847131240208294,0.06718730951893387,0.11498644775577906,bow-binary,chi_k-1600,dbscan-01-20-cosine,1,3.0,1402.0
0,0.07812738985731424,0.31214203740932367,0.10083930491486101,0.15243393762014731,bow-binary,chi_k-1400,kmeans-2-cousine,1,2.0,0.0
0,0.0879860910763695,0.2269547984648994,0.12793065288323147,0.16362730809223816,bow-binary,chi_k-1400,kmeans-3-cousine,1,3.0,0.0
0,0.23547054561462044,0.35931937999455,0.26774068908723875,0.30684275126309174,bow-binary,chi_k-1400,kmeans-4-cousine,1,4.0,0.0
0,0.22693455516133465,0.29658080373322926,0.25867658042673936,0.27633494058252167,bow-binary,chi_k-1400,kmeans-5-cousine,1,5.0,0.0
0,0.2340413043377025,0.31879428403533283,0.31403009159720535,0.31639425430227885,bow-binary,chi_k-1400,kmeans-6-cousine,1,6.0,0.0
