,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,alpha
503,0.03751199245452881,0.0018582835723516395,0.006436395645141602,0.00010833467392776616,0.7892617449664429,0.03984113309974721,0.9130499627143921,0.0052539641920383235,bow,28,1,False,unigram,1200,0.8
102,0.037741661071777344,0.003040417864387696,0.006577038764953613,0.00017304785913280888,0.7892617449664429,0.03751191573820704,0.9342281879194632,0.004319984595961266,bow,28,1,True,unigram,1200,0.3
504,0.040123915672302245,0.004793505064534073,0.006990361213684082,0.0011783586310286718,0.7885906040268457,0.04085148400948512,0.910365398956003,0.004434323265419371,bow,31,1,False,unigram,1200,0.9
116,0.037155890464782716,0.0027220459369685854,0.006272697448730468,0.000497020195436207,0.7885906040268456,0.03250013426255906,0.9237882177479493,0.0036195857120094425,bow,32,1,True,unigram,1400,0.6
512,0.040700459480285646,0.008214101802926152,0.006487154960632324,0.00013674445383306236,0.7885906040268456,0.038931959764491764,0.9227442207307979,0.004647408337325239,bow,32,1,False,unigram,1400,0.6
114,0.036802363395690915,0.0007449226946886573,0.0064727067947387695,0.00017964893725744364,0.7885906040268456,0.03093806864863384,0.9307979120059657,0.004122378810167136,bow,32,1,True,unigram,1400,0.4
91,0.035814332962036136,0.0004258618190861679,0.006034207344055176,0.0002685707152948905,0.7879194630872484,0.0399540297077509,0.9260999254287844,0.004803335694314076,bow,35,1,True,unigram,1000,0.3
489,0.04440531730651855,0.01163946347648698,0.008405709266662597,0.0018794890372532255,0.7879194630872484,0.04236170157868324,0.9181208053691275,0.004921700223713648,bow,35,1,False,unigram,1000,0.5
120,0.036837220191955566,0.0006792587767689637,0.006748628616333008,0.0006363665645251496,0.7879194630872484,0.03263153229837106,0.9062639821029081,0.0049245240808647285,bow,35,1,True,unigram,1400,1.0
524,0.03901040554046631,0.004203816246660925,0.007322907447814941,0.0018030034668326147,0.7879194630872483,0.03591701519532794,0.9167039522744223,0.003974722735641002,bow,38,1,False,unigram,1600,0.7
497,0.03882262706756592,0.007707329645850877,0.006635808944702148,0.0011752175179958557,0.7879194630872483,0.03927178211631623,0.935123042505593,0.004001911369127147,bow,38,1,False,unigram,1200,0.2
81,0.035927629470825194,0.0003582946632900745,0.006264948844909668,0.00029112157103640396,0.7872483221476511,0.032885906040268476,0.9146159582401193,0.004427420614108099,bow,40,1,True,unigram,800,0.4
520,0.036267971992492674,0.0003186927234462046,0.006046295166015625,6.725305937528517e-05,0.787248322147651,0.03676602932832842,0.9352721849366146,0.004202536257600398,bow,41,1,False,unigram,1600,0.3
476,0.03624563217163086,0.0003925609334930796,0.006319618225097657,0.00015776473549932867,0.787248322147651,0.042451985505687184,0.9161073825503356,0.0053280598591786054,bow,41,1,False,unigram,800,0.3
490,0.042815423011779784,0.01039127423041906,0.007875847816467284,0.0019240080940137883,0.787248322147651,0.03701024343345569,0.9153616703952274,0.005472226639510025,bow,41,1,False,unigram,1000,0.6
130,0.036321377754211424,0.0005075240597702784,0.006730294227600098,0.00043500298497132264,0.787248322147651,0.027352595801764867,0.9110365398956004,0.004030296530013927,bow,41,1,True,unigram,1600,0.9
115,0.03892617225646973,0.006860004420627573,0.006607484817504883,0.001020590092468273,0.787248322147651,0.03148645397514066,0.9273676360924684,0.004141220992368325,bow,41,1,True,unigram,1400,0.5
523,0.03638863563537598,0.00029248217226618563,0.006214332580566406,0.00011836803192057663,0.787248322147651,0.04060818659706269,0.9213273676360924,0.0033223966308643656,bow,41,1,False,unigram,1600,0.6
521,0.03742244243621826,0.002381129235439767,0.006507205963134766,0.00032728662061782166,0.787248322147651,0.04104947297549808,0.9307233407904547,0.004392111654773219,bow,41,1,False,unigram,1600,0.4
95,0.03875555992126465,0.007592397799311396,0.006629300117492676,0.0013507561119258068,0.7865771812080538,0.029833705732742098,0.910812826249068,0.005114519970017069,bow,48,1,True,unigram,1000,0.7
488,0.03626570701599121,0.0003300668255712792,0.006912636756896973,0.0005197508406175067,0.7865771812080536,0.04316224212298935,0.9214765100671141,0.004361619333598748,bow,49,1,False,unigram,1000,0.4
129,0.036974978446960446,0.0019164450399755412,0.006302285194396973,0.00046638862116106527,0.7865771812080536,0.028913636548373162,0.916703952274422,0.00401647517061753,bow,49,1,True,unigram,1600,0.8
127,0.0451833963394165,0.011287844063896418,0.008350419998168945,0.0022173489255873724,0.7865771812080536,0.024346788117069872,0.9241610738255034,0.004219044044687754,bow,49,1,True,unigram,1600,0.6
487,0.04038138389587402,0.006830480101087404,0.007152462005615234,0.00046132375013507084,0.7865771812080536,0.040246078793462974,0.9246085011185683,0.0046503987554567874,bow,49,1,False,unigram,1000,0.3
90,0.03778657913208008,0.0045260928260617735,0.006357264518737793,0.00030256031714085915,0.7859060402684565,0.03790015544562549,0.9311707680835198,0.005036180165519175,bow,53,1,True,unigram,1000,0.2
124,0.036325478553771974,0.0004708903159814841,0.00658111572265625,0.0004203916270395125,0.7859060402684565,0.02774500215918709,0.9360924683072334,0.004085114369814277,bow,53,1,True,unigram,1600,0.3
128,0.04153931140899658,0.008814359530389134,0.006893730163574219,0.00038872479333016134,0.7859060402684565,0.027087833651826262,0.9200596569724088,0.003971223551288418,bow,53,1,True,unigram,1600,0.7
126,0.03804666996002197,0.004428338451080165,0.007199883460998535,0.0017101901927800373,0.7859060402684565,0.02870255675213838,0.9272184936614467,0.004167990637578565,bow,53,1,True,unigram,1600,0.5
475,0.03585038185119629,0.00023268549631084613,0.0059991121292114254,0.00022224495639367015,0.7859060402684565,0.04020688805570513,0.9181208053691275,0.00466651389922804,bow,53,1,False,unigram,800,0.2
527,0.03652145862579346,0.00042439725207409236,0.0063785076141357425,0.00016001539623412367,0.7859060402684565,0.036815001750073774,0.9033557046979865,0.005337965747404403,bow,53,1,False,unigram,1600,1.0
93,0.03867812156677246,0.007778679220148915,0.006317901611328125,0.00031468130809404114,0.7859060402684565,0.030674885589332717,0.9184190902311707,0.004388945255648657,bow,53,1,True,unigram,1000,0.5
526,0.041286468505859375,0.008453249360934336,0.006192326545715332,0.0002830379863180599,0.7859060402684563,0.038489801232052805,0.9078299776286354,0.006407919778953279,bow,60,1,False,unigram,1600,0.9
92,0.03612813949584961,0.00030828214108049516,0.006338262557983398,0.00010575202214260417,0.7859060402684563,0.034802395067017905,0.9218493661446683,0.00473747357920019,bow,60,1,True,unigram,1000,0.4
101,0.03607523441314697,0.00022649246134586764,0.006348013877868652,0.00022556006094975336,0.7852348993288591,0.0311918121842208,0.9386278896346012,0.004821823463184861,bow,62,1,True,unigram,1200,0.2
652,0.10841410160064698,0.022173866192141577,0.011838412284851075,0.0026679695389141343,0.7852348993288591,0.0332875081010396,0.9246830723340793,0.003056510295588239,bow,62,1,False,unigram_bigram,1600,0.3
125,0.038975977897644044,0.007956711382411063,0.007055425643920898,0.0012635092922045992,0.785234899328859,0.026507943165277166,0.9319910514541387,0.004795804680332155,bow,64,1,True,unigram,1600,0.4
653,0.09882628917694092,0.020113182377351636,0.011532449722290039,0.002906053474704087,0.7845637583892617,0.03742174995825679,0.9217002237136466,0.003146163029042356,bow,65,1,False,unigram_bigram,1600,0.4
131,0.038295316696166995,0.003427328918230772,0.006884765625,0.00035703980734656994,0.7845637583892617,0.030081791719483185,0.9045488441461597,0.0051340535355879,bow,65,1,True,unigram,1600,1.0
482,0.03867762088775635,0.007670587497669094,0.006707406044006348,0.0011657786406649544,0.7845637583892617,0.040430323441151786,0.8969425801640567,0.005716261863307019,bow,65,1,False,unigram,800,0.9
491,0.043562698364257815,0.010311070945413782,0.007057833671569824,0.0004574765612577404,0.7845637583892617,0.03872314560201789,0.9118568232662192,0.0054062845519438915,bow,65,1,False,unigram,1000,0.7
477,0.039725208282470705,0.008027436141970122,0.006593394279479981,0.0012775699907826284,0.7845637583892617,0.04333408981841057,0.9121551081282625,0.004594458404399509,bow,65,1,False,unigram,800,0.4
508,0.03580076694488525,0.00035655222381216433,0.0060493707656860355,0.00016424023949288436,0.7845637583892617,0.03557046979865772,0.938627889634601,0.003514353965085208,bow,65,1,False,unigram,1400,0.2
94,0.03594934940338135,0.00031539981473706634,0.006066417694091797,0.0001896724677048235,0.7838926174496644,0.030134153450528386,0.9155853840417599,0.00455800351675947,bow,71,1,True,unigram,1000,0.6
